period,model,variable,horizon,rmse
COVID shock,AR,GDPC1_gr,1,22.29979639504829
COVID shock,AR,GDPC1_gr,2,21.92256647161446
COVID shock,AR,CPIAUCSL_yoy,1,1.8882469714220667
COVID shock,AR,CPIAUCSL_yoy,2,1.9204563665778782
COVID shock,AR,PCEPILFE_yoy,1,1.1406054663325471
COVID shock,AR,PCEPILFE_yoy,2,1.2116372931833335
COVID shock,AR,UNRATE,1,5.422407566384477
COVID shock,AR,UNRATE,2,5.7782206757575025
COVID shock,AR,FEDFUNDS,1,2.0101955775381937
COVID shock,AR,FEDFUNDS,2,2.085506975881801
COVID shock,AR,T10Y2Y,1,0.6481853013549003
COVID shock,AR,T10Y2Y,2,0.4661393876204802
COVID shock,AR,BAA10Y,1,1.0681673418313218
COVID shock,AR,BAA10Y,2,0.9117209023623909
COVID shock,AR,VIXCLS_log,1,0.6443023550776852
COVID shock,AR,VIXCLS_log,2,0.5814411042007346
COVID shock,BVAR,GDPC1_gr,1,36.50346053188823
COVID shock,BVAR,GDPC1_gr,2,56.74622418283008
COVID shock,BVAR,CPIAUCSL_yoy,1,4.7661972825961465
COVID shock,BVAR,CPIAUCSL_yoy,2,11.050430947953712
COVID shock,BVAR,PCEPILFE_yoy,1,2.656939661136897
COVID shock,BVAR,PCEPILFE_yoy,2,6.912415160905504
COVID shock,BVAR,UNRATE,1,10.494755930259307
COVID shock,BVAR,UNRATE,2,35.680767302776154
COVID shock,BVAR,FEDFUNDS,1,0.6456127649797193
COVID shock,BVAR,FEDFUNDS,2,2.27136094183253
COVID shock,BVAR,T10Y2Y,1,3.10171404339885
COVID shock,BVAR,T10Y2Y,2,11.059123516650248
COVID shock,BVAR,BAA10Y,1,4.048450809256355
COVID shock,BVAR,BAA10Y,2,11.479404156850665
COVID shock,BVAR,VIXCLS_log,1,4.038348121351243
COVID shock,BVAR,VIXCLS_log,2,11.247208923957913
COVID shock,BVAR_LLM,GDPC1_gr,1,36.773638356479516
COVID shock,BVAR_LLM,GDPC1_gr,2,53.715408873316925
COVID shock,BVAR_LLM,CPIAUCSL_yoy,1,5.036923547041932
COVID shock,BVAR_LLM,CPIAUCSL_yoy,2,11.327869168652203
COVID shock,BVAR_LLM,PCEPILFE_yoy,1,2.2588219259045106
COVID shock,BVAR_LLM,PCEPILFE_yoy,2,5.616883981339343
COVID shock,BVAR_LLM,UNRATE,1,9.00075633218795
COVID shock,BVAR_LLM,UNRATE,2,29.20265314129191
COVID shock,BVAR_LLM,FEDFUNDS,1,0.5061040686284033
COVID shock,BVAR_LLM,FEDFUNDS,2,1.3137200591995342
COVID shock,BVAR_LLM,T10Y2Y,1,2.3532629388881623
COVID shock,BVAR_LLM,T10Y2Y,2,8.39226595935773
COVID shock,BVAR_LLM,BAA10Y,1,3.6671284277365
COVID shock,BVAR_LLM,BAA10Y,2,9.767586168932839
COVID shock,BVAR_LLM,VIXCLS_log,1,3.3620565653499574
COVID shock,BVAR_LLM,VIXCLS_log,2,9.600456212938148
Inflation surge,AR,GDPC1_gr,1,8.518307865014757
Inflation surge,AR,GDPC1_gr,2,3.4027214528322034
Inflation surge,AR,CPIAUCSL_yoy,1,5.139333317104522
Inflation surge,AR,CPIAUCSL_yoy,2,3.0476223999661887
Inflation surge,AR,PCEPILFE_yoy,1,3.6212450331654655
Inflation surge,AR,PCEPILFE_yoy,2,1.0265894986498656
Inflation surge,AR,UNRATE,1,1.6329103258308035
Inflation surge,AR,UNRATE,2,1.2639963166168673
Inflation surge,AR,FEDFUNDS,1,3.0339703005961964
Inflation surge,AR,FEDFUNDS,2,2.873533013493997
Inflation surge,AR,T10Y2Y,1,1.1888691400863831
Inflation surge,AR,T10Y2Y,2,0.8891685440078927
Inflation surge,AR,BAA10Y,1,0.4057485992085111
Inflation surge,AR,BAA10Y,2,0.2783450477929239
Inflation surge,AR,VIXCLS_log,1,0.3498374569519658
Inflation surge,AR,VIXCLS_log,2,0.3086318005010669
Inflation surge,BVAR,GDPC1_gr,1,14.147425988965711
Inflation surge,BVAR,GDPC1_gr,2,11.642081502987251
Inflation surge,BVAR,CPIAUCSL_yoy,1,2.6123471284411983
Inflation surge,BVAR,CPIAUCSL_yoy,2,6.2877042197253905
Inflation surge,BVAR,PCEPILFE_yoy,1,1.95763182080312
Inflation surge,BVAR,PCEPILFE_yoy,2,5.258631374376499
Inflation surge,BVAR,UNRATE,1,7.098157405713073
Inflation surge,BVAR,UNRATE,2,24.533967477408115
Inflation surge,BVAR,FEDFUNDS,1,0.8117766564670686
Inflation surge,BVAR,FEDFUNDS,2,2.524403929096824
Inflation surge,BVAR,T10Y2Y,1,1.8025546473947036
Inflation surge,BVAR,T10Y2Y,2,5.443013069172309
Inflation surge,BVAR,BAA10Y,1,2.8360961987782067
Inflation surge,BVAR,BAA10Y,2,7.925889369780982
Inflation surge,BVAR,VIXCLS_log,1,2.7408167669609242
Inflation surge,BVAR,VIXCLS_log,2,6.9306504958935085
Inflation surge,BVAR_LLM,GDPC1_gr,1,7.143008464078436
Inflation surge,BVAR_LLM,GDPC1_gr,2,4.929480967889827
Inflation surge,BVAR_LLM,CPIAUCSL_yoy,1,2.2455409714456303
Inflation surge,BVAR_LLM,CPIAUCSL_yoy,2,5.552909399777771
Inflation surge,BVAR_LLM,PCEPILFE_yoy,1,1.6839916276090146
Inflation surge,BVAR_LLM,PCEPILFE_yoy,2,5.004336500047055
Inflation surge,BVAR_LLM,UNRATE,1,6.754202855255341
Inflation surge,BVAR_LLM,UNRATE,2,21.8898929595032
Inflation surge,BVAR_LLM,FEDFUNDS,1,0.7613125401099754
Inflation surge,BVAR_LLM,FEDFUNDS,2,2.1328211680041607
Inflation surge,BVAR_LLM,T10Y2Y,1,1.5329432241125678
Inflation surge,BVAR_LLM,T10Y2Y,2,4.042807148957582
Inflation surge,BVAR_LLM,BAA10Y,1,2.6939791055572595
Inflation surge,BVAR_LLM,BAA10Y,2,7.36233986726255
Inflation surge,BVAR_LLM,VIXCLS_log,1,2.6987951428323984
Inflation surge,BVAR_LLM,VIXCLS_log,2,6.61576278842676
Soft landing,AR,GDPC1_gr,1,1.6672345281217082
Soft landing,AR,GDPC1_gr,2,1.5081071954370775
Soft landing,AR,CPIAUCSL_yoy,1,2.663951708060695
Soft landing,AR,CPIAUCSL_yoy,2,0.9331996000781309
Soft landing,AR,PCEPILFE_yoy,1,1.5202493088986841
Soft landing,AR,PCEPILFE_yoy,2,0.5133017077426929
Soft landing,AR,UNRATE,1,0.15478494878729346
Soft landing,AR,UNRATE,2,0.14567868398954806
Soft landing,AR,FEDFUNDS,1,2.055065635800851
Soft landing,AR,FEDFUNDS,2,1.204616464574859
Soft landing,AR,T10Y2Y,1,0.4092934224717969
Soft landing,AR,T10Y2Y,2,0.345095657526073
Soft landing,AR,BAA10Y,1,0.513444080022387
Soft landing,AR,BAA10Y,2,0.3940959821634882
Soft landing,AR,VIXCLS_log,1,0.28814709550630424
Soft landing,AR,VIXCLS_log,2,0.21143685758909994
Soft landing,BVAR,GDPC1_gr,1,3.64503173729924
Soft landing,BVAR,GDPC1_gr,2,6.97148153009085
Soft landing,BVAR,CPIAUCSL_yoy,1,2.031208640212178
Soft landing,BVAR,CPIAUCSL_yoy,2,4.56062009335487
Soft landing,BVAR,PCEPILFE_yoy,1,0.39459697159415297
Soft landing,BVAR,PCEPILFE_yoy,2,1.1028064778270248
Soft landing,BVAR,UNRATE,1,2.1228208476337826
Soft landing,BVAR,UNRATE,2,6.473348618742705
Soft landing,BVAR,FEDFUNDS,1,0.5977226278696054
Soft landing,BVAR,FEDFUNDS,2,1.081092280358551
Soft landing,BVAR,T10Y2Y,1,0.7488695744650947
Soft landing,BVAR,T10Y2Y,2,2.322090533536874
Soft landing,BVAR,BAA10Y,1,0.8922020041762407
Soft landing,BVAR,BAA10Y,2,2.0803325999671314
Soft landing,BVAR,VIXCLS_log,1,0.8026833156089044
Soft landing,BVAR,VIXCLS_log,2,2.0549600612450774
Soft landing,BVAR_LLM,GDPC1_gr,1,3.436997682583071
Soft landing,BVAR_LLM,GDPC1_gr,2,2.696577261822099
Soft landing,BVAR_LLM,CPIAUCSL_yoy,1,1.857621032904837
Soft landing,BVAR_LLM,CPIAUCSL_yoy,2,3.9289052351109883
Soft landing,BVAR_LLM,PCEPILFE_yoy,1,0.3654492992979313
Soft landing,BVAR_LLM,PCEPILFE_yoy,2,0.5311826552461811
Soft landing,BVAR_LLM,UNRATE,1,2.093400973415573
Soft landing,BVAR_LLM,UNRATE,2,6.07253715755282
Soft landing,BVAR_LLM,FEDFUNDS,1,0.6809867121827067
Soft landing,BVAR_LLM,FEDFUNDS,2,1.4519226504305915
Soft landing,BVAR_LLM,T10Y2Y,1,0.6250073352232267
Soft landing,BVAR_LLM,T10Y2Y,2,1.853276207573577
Soft landing,BVAR_LLM,BAA10Y,1,0.5887388261878167
Soft landing,BVAR_LLM,BAA10Y,2,1.4950544756980215
Soft landing,BVAR_LLM,VIXCLS_log,1,0.5609594199557504
Soft landing,BVAR_LLM,VIXCLS_log,2,1.4894534530027281
